,Time,Command,Lefthip
0,0,0.0,-0.10582010582010781
1,14,1.1194147051151095,-0.7407407407407405
2,26,2.076252480566054,0.529100529100532
3,37,2.9492058551984597,0.10582010582010781
4,49,3.894949711704083,0.952380952380949
5,59,4.676307665403613,0.10582010582010781
6,69,5.450184524397596,1.1640211640211646
7,79,6.215342250796563,0.529100529100532
8,89,6.970556755463222,-0.10582010582010781
9,99,7.7146198562939405,0.10582010582010781
10,109,8.446341211052385,0.529100529100532
11,119,9.164550221663173,2.2222222222222214
12,129,9.868097906919079,1.3756613756613731
13,139,10.555858740605862,0.31746031746031633
14,148,11.160435808827769,2.2222222222222214
15,155,11.620703210746102,1.3756613756613731
16,163,12.135547237985696,1.7989417989417973
17,171,12.637965525237698,1.1640211640211646
18,179,13.127443640076438,1.1640211640211646
19,187,13.603480399682118,2.857142857142854
20,195,14.065588384008203,2.6455026455026456
21,203,14.513294434856983,3.7037037037037024
22,211,14.946140140352197,4.1269841269841265
23,219,15.36368230431277,4.338624338624342
24,226,15.71614152526287,6.031746031746039
25,234,16.103849882797356,5.396825396825392
26,242,16.475069305179705,6.455026455026456
27,250,16.82941969615793,6.878306878306873
28,258,17.16653823189423,7.089947089947088
29,265,17.447109646899726,7.51322751322752
30,273,17.75100222626706,8.359788359788354
31,281,18.036719330407998,8.57142857142857
32,289,18.303968409973383,8.783068783068785
33,297,18.552475825257527,10.687830687830683
34,305,18.781987126381352,9.629629629629633
35,313,18.99226731382682,10.899470899470899
36,321,19.183101079055923,11.957671957671963
37,329,19.35429302496781,11.111111111111114
38,336,19.48783525241151,13.439153439153444
39,344,19.621742285044647,11.957671957671963
40,352,19.735558368093383,12.38095238095238
41,360,19.82916696383373,13.650793650793645
42,368,19.902472225243017,13.015873015873012
43,375,19.94989973208109,13.650793650793645
44,383,19.984950338087096,14.285714285714292
45,391,19.9995381011989,14.285714285714292
46,401,19.988976173711983,15.978835978835974
47,409,19.957499870715953,14.920634920634924
48,416,19.91319362035479,15.555555555555557
49,424,19.843445074948093,15.767195767195773
50,432,19.753378575672155,15.555555555555557
51,440,19.64308634275237,16.613756613756607
52,448,19.512681305798093,15.555555555555557
53,455,19.382182577609125,16.825396825396822
54,463,19.214442005986786,15.555555555555557
55,471,19.027027524676573,16.402116402116405
56,479,18.82013102973137,15.767195767195773
57,487,18.593964365083735,16.613756613756607
58,495,18.348759105636198,16.613756613756607
59,503,18.084766320148795,16.613756613756607
60,510,17.838573019067592,16.825396825396822
61,518,17.540097092430436,16.613756613756607
62,526,17.223661638995388,16.613756613756607
63,534,16.88959066101716,16.613756613756607
64,542,16.538226217986622,16.613756613756607
65,550,16.169928076391802,16.613756613756607
66,557,15.834072313935074,16.613756613756607
67,565,15.43505324040252,16.613756613756607
68,573,15.020230021041282,19.15343915343915
69,581,14.590027398581427,15.978835978835974
70,589,14.144885862917953,17.460317460317455
71,597,13.685261200087652,16.613756613756607
72,604,13.27157854094992,15.978835978835974
73,612,12.78607776173289,16.613756613756607
74,620,12.287485156114235,14.920634920634924
75,628,11.776311239355906,14.708994708994709
76,636,11.253079408883131,14.920634920634924
77,644,10.718325408371179,14.285714285714292
78,651,10.241394038853038,16.402116402116405
79,659,9.68652061243435,15.555555555555557
80,667,9.121729035300728,14.074074074074076
81,675,8.547597604676596,14.920634920634924
82,683,7.964714180980257,13.86243386243386
83,691,7.373675585906191,13.650793650793645
84,699,6.7750869913317615,13.439153439153444
85,707,6.169561299674137,13.015873015873012
86,714,5.6345229761761235,14.708994708994709
87,722,5.017666436336928,12.169312169312164
88,730,4.395672244502339,13.227513227513228
89,738,3.7691772683759717,12.592592592592595
90,746,3.138822984071281,11.957671957671963
91,754,2.505254819296078,11.322751322751316
92,761,1.948756199440302,10.476190476190482
93,769,1.3109125888555828,9.841269841269835
94,777,0.671726718325256,11.322751322751316
95,785,0.03185305832973656,9.206349206349202
96,793,-0.6080532164142447,9.841269841269835
97,801,-1.247336897795305,9.629629629629633
98,809,-1.8853434151832638,8.783068783068785
99,817,-2.521419505652265,8.148148148148152
100,825,-3.1549138828649643,8.359788359788354
101,833,-3.785177903932782,7.089947089947088
102,840,-4.333501607747593,6.878306878306873
103,848,-4.955972434287828,5.6084656084656075
104,856,-5.57336877810005,4.761904761904759
105,864,-6.185058479275268,5.820105820105823
106,872,-6.790415221007919,4.1269841269841265
107,880,-7.388819170889542,5.1851851851851904
108,887,-7.906237304032602,3.492063492063494
109,895,-8.489959389671652,3.492063492063494
110,903,-9.064988498734328,2.010582010582013
111,911,-9.630735851658047,2.857142857142854
112,919,-10.18662217258748,3.0687830687830697
113,927,-10.732078282502433,1.1640211640211646
114,935,-11.2665456820074,2.857142857142854
115,943,-11.789477123186167,1.1640211640211646
116,951,-12.300337169935867,0.31746031746031633
117,959,-12.798602746206729,1.5873015873015888
118,966,-13.22385232751975,-0.529100529100532
119,974,-13.697138711770151,-2.2222222222222214
120,982,-14.15640042281309,-2.6455026455026456
121,990,-14.60116721678599,-3.2804232804232782
122,998,-15.030983691354812,-3.915343915343918
123,1006,-15.445409752006254,-4.1269841269841265
124,1013,-15.795073626185197,-4.973544973544975
125,1021,-16.179511661844185,-5.185185185185183
126,1029,-16.547383291300495,-7.089947089947088
127,1037,-16.898311846149568,-6.87830687830688
128,1045,-17.23193800621481,-8.35978835978836
129,1053,-17.54792016746001,-8.994708994708994
130,1061,-17.84593479176205,-6.666666666666664
131,1069,-18.125676738185682,-7.724867724867728
132,1079,-18.44922366311641,-9.417989417989418
133,1087,-18.686833795929996,-9.841269841269842
