,Time,Command,Righthip,Lefthip,Pitch
0,0,0.0,0.6428571428571459,-0.31746031746031633,-3.375
1,99,3.934176032152095,0.2142857142857153,-0.31746031746031633,-3.375
2,196,7.640749432661749,3.4285714285714306,3.2804232804232782,-3.375
3,293,11.06065636354989,6.642857142857139,6.878306878306873,-3.375
4,391,14.093996775403614,9.642857142857139,10.687830687830683,-3.375
5,488,16.565252845527386,12.857142857142861,12.38095238095238,-3.375
6,585,18.415011954722715,13.285714285714292,14.708994708994709,-11.375
7,669,19.460501788325434,13.92857142857143,16.402116402116405,-11.375
8,759,19.97213195307586,14.142857142857139,16.825396825396822,-3.625
9,849,19.838410318806147,13.92857142857143,17.883597883597886,-3.4375
10,932,19.146457242478146,14.57142857142857,18.730158730158735,-3.3125
11,1014,17.94580833162055,14.357142857142861,18.51851851851852,-2.9375
12,1110,15.93130944472173,14.57142857142857,18.941798941798936,-2.8125
13,1207,13.301476229089694,14.57142857142857,16.19047619047619,-2.5
14,1294,10.514933488526545,14.142857142857139,14.074074074074076,-1.125
15,1383,7.336478668235136,11.57142857142857,11.534391534391531,1.25
16,1484,3.4544422854033083,6.428571428571431,8.148148148148152,3.625
17,1577,-0.24814056153727143,4.5,3.7037037037037024,5.375
18,1659,-3.509876321486836,0.0,1.7989417989417973,-2040.75
19,1740,-6.639703764414682,-3.4285714285714306,-3.0687830687830697,9.25
20,1836,-10.117695212323039,-6.428571428571431,-6.666666666666664,3.125
21,1921,-12.890583790011334,-9.642857142857146,-7.089947089947088,12.6875
22,2010,-15.394462815280477,-12.857142857142854,-11.322751322751323,13.3125
23,2108,-17.586161031113924,-14.785714285714285,-14.074074074074076,12.25
24,2199,-19.019710107116452,-15.857142857142854,-17.248677248677247,10.4375
25,2280,-19.76822503878261,-17.57142857142857,-17.460317460317462,9.125
26,2362,-19.99865185738094,-17.57142857142857,-17.037037037037038,8.0
27,2457,-19.594904919328716,-17.57142857142857,-17.67195767195767,6.5625
28,2555,-18.439773550964325,-17.357142857142854,-17.460317460317462,5.0625
29,2652,-16.60086585323691,-17.357142857142854,-17.460317460317462,
30,2734,-14.557053648835762,-17.57142857142857,-17.460317460317462,2.5
31,2831,-11.639988962517515,-15.857142857142854,-16.613756613756614,1.3125
32,2928,-8.286213902207088,-12.0,-12.804232804232804,0.1875
33,3025,-4.621555765987845,-8.357142857142854,-9.841269841269842,-0.9375
34,3122,-0.7835055970536714,-3.642857142857146,-5.820105820105823,-2.625
35,3219,3.0839402202282877,0.0,-0.529100529100532,-3.0625
36,3316,6.835682432353724,2.357142857142854,2.010582010582013,-3.8125
37,3414,10.365192407561349,6.428571428571431,6.24338624338624,2042.0625
38,3511,13.46824252154305,9.0,9.629629629629633,-8.3125
39,3608,16.065989645329445,12.214285714285708,12.592592592592595,-10.125
40,3705,18.060971219323697,14.142857142857139,14.920634920634924,-11.8125
41,3803,19.38819599079626,13.714285714285708,17.248677248677254,
42,3885,19.92951229481201,14.142857142857139,18.095238095238102,-14.9375
43,3982,19.87908163195973,14.57142857142857,19.365079365079367,-25.3125
44,4079,19.08282541875086,14.57142857142857,19.576719576719583,-18.9375
45,4176,17.570617682539183,14.785714285714292,19.788359788359784,-19.875
46,4274,15.373639114901106,15.214285714285708,18.095238095238102,-20.0625
47,4356,13.078759054638649,15.42857142857143,16.402116402116405,-19.8125
48,4438,10.432900409873898,14.785714285714292,14.920634920634924,-18.75
49,4531,7.097455106613124,11.57142857142857,11.746031746031747,-17.375
50,4628,3.3595559957953,7.071428571428569,7.089947089947088,-15.75
51,4716,-0.14443952899554266,3.4285714285714306,5.1851851851851904,-14.1875
52,4803,-3.604634700727945,0.2142857142857153,2.2222222222222214,-12.875
53,4897,-7.21780017020097,-3.2142857142857153,-2.2222222222222214,-11.625
54,4979,-10.166214210403446,-7.285714285714285,-6.24338624338624,-10.1875
55,5076,-13.295939985465147,-10.285714285714285,-8.35978835978836,-9.125
56,5160,-15.606959033064632,-12.42857142857143,-11.534391534391531,-7.875
57,5251,-17.612901476053594,-15.0,-14.285714285714285,-6.5
58,5349,-19.121010496514728,-16.285714285714285,-16.402116402116405,-5.0625
59,5446,-19.892819537027744,-17.142857142857146,-16.825396825396822,-3.5
60,5543,-19.918287606965183,-17.357142857142854,-17.248677248677247,-2.5625
61,5640,-19.196459192504566,-17.57142857142857,-17.037037037037038,-1.3125
62,5737,-17.754415930737824,-16.92857142857143,-17.460317460317462,0.3125
63,5834,-15.646260557860622,-16.92857142857143,-17.460317460317462,2.4375
64,5932,-12.92058042441347,-17.57142857142857,-16.825396825396822,4.75
65,6029,-9.735091242262342,-13.07142857142857,-13.227513227513228,6.875
66,6126,-6.184359846312994,-10.285714285714285,-11.111111111111114,0.3125
67,6212,-2.8378028120396586,-6.214285714285715,-8.57142857142857,9.5625
68,6300,0.6724609444227339,-3.0,-4.1269841269841265,10.6875
69,6397,4.513373951298263,-0.2142857142857153,-0.952380952380949,11.5
70,6494,8.184953702568013,3.4285714285714306,3.7037037037037024,12.3125
71,6592,11.582082754698162,8.142857142857139,7.301587301587304,13.0625
72,6689,14.5081934253028,10.5,10.687830687830683,13.5625
73,6786,16.889984114409376,13.07142857142857,13.015873015873012,13.75
74,6883,18.63809453946438,12.857142857142861,14.708994708994709,13.8125
75,6984,19.71450727508433,12.857142857142861,16.825396825396822,13.6875
76,7068,19.999986382484977,13.285714285714292,17.460317460317455,13.4375
77,7158,19.68103879684837,13.07142857142857,18.095238095238102,5.5
78,7255,18.625982552946137,13.714285714285708,18.51851851851852,5.5
79,7352,16.87211466645023,13.5,18.306878306878303,13.0
80,7450,14.45762699023952,13.5,17.67195767195767,12.0625
81,7547,11.522228743298346,13.5,15.132275132275126,11.25
82,7644,8.15453826309879,12.642857142857139,12.169312169312164,10.75
83,7741,4.480904927963668,9.0,9.206349206349202,10.25
84,7824,1.198546809716505,5.142857142857139,5.1851851851851904,9.4375
85,7917,-2.514066186450215,1.2857142857142847,4.338624338624342,8.375
86,8014,-6.292028555354307,-3.642857142857146,-2.433862433862437,7.3125
87,8111,-9.8339259114456,-6.214285714285715,-6.455026455026456,6.1875
88,8209,-13.037232535378392,-10.285714285714285,-7.724867724867728,5.0
89,8306,-15.716595869338388,-12.642857142857146,-11.534391534391531,3.875
90,8403,-17.806302247257953,-15.0,-15.343915343915342,2.625
91,8499,-19.21690485551991,-17.142857142857146,-16.825396825396822,1.625
92,8596,-19.92477493131233,-17.785714285714285,-17.037037037037038,1.125
93,8694,-19.880783964410565,-18.0,-17.460317460317462,0.8125
94,8791,-19.087477399005017,-18.0,-17.67195767195767,0.0
95,8888,-17.5780447770947,-17.785714285714285,-17.460317460317462,-1.25
96,8985,-15.409117156230707,-17.57142857142857,-17.460317460317462,-2.1875
97,9082,-12.662068599182252,-16.5,-17.037037037037038,-2.4375
98,9179,-9.439963172984756,-12.0,-13.86243386243386,-2.625
99,9278,-5.7871570017903595,-10.07142857142857,-11.111111111111114,-2.75
100,9375,-1.9878309379769634,-5.142857142857146,-7.301587301587304,-3.0625
101,9472,1.8860747835279112,-2.357142857142854,-2.6455026455026456,-11.1875
102,9563,5.458729416693087,2.7857142857142847,1.1640211640211646,-3.5
103,9644,8.490624549147512,3.642857142857146,5.1851851851851904,-4.375
104,9726,11.333159398717408,7.714285714285708,7.51322751322752,-5.6875
105,9829,14.464269852599083,10.285714285714292,11.111111111111114,2033.4375
106,9913,16.570227911114806,12.642857142857139,13.015873015873012,-7.5
107,9994,18.15965304486766,13.5,15.132275132275126,-8.6875
108,10083,19.356529701075395,14.57142857142857,17.248677248677254,-9.6875
