,Time,Command,Righthip,Lefthip,Pitch
80,1227,12.693573664465871,170.57142857142858,-182.11640211640213,
81,1241,12.255900012303318,170.57142857142858,-181.9047619047619,-2.1875
82,1258,11.711555807240305,170.78571428571428,-181.9047619047619,
83,1271,11.286124581170236,170.78571428571428,-182.11640211640213,-2.1875
84,1290,10.650698151112422,170.78571428571428,-182.11640211640213,-2.1875
85,1306,10.103636758196817,170.57142857142858,-181.9047619047619,
86,1320,9.616452299772964,170.78571428571428,-181.6931216931217,
87,1333,9.157308187091356,170.78571428571428,-181.9047619047619,-2.1875
88,1349,8.583743371059185,170.78571428571428,-181.9047619047619,-2.1875
89,1365,8.00138955184839,170.57142857142858,-181.9047619047619,
90,1378,7.522166823562312,170.78571428571428,-181.9047619047619,
91,1392,7.000403736451309,171.0,-181.6931216931217,-2.1875
92,1408,6.397407167045422,170.78571428571428,-181.9047619047619,
93,1422,5.864390533977726,170.78571428571428,-181.9047619047619,
94,1435,5.3653210185923585,170.78571428571428,-181.6931216931217,
95,1448,4.8626247505124045,171.0,-181.6931216931217,
96,1462,4.317593395481661,170.78571428571428,-181.9047619047619,-2.1875
97,1479,3.651260400329517,170.78571428571428,-181.6931216931217,
98,1492,3.138822984071281,171.0,-181.6931216931217,-2.1875
99,1509,2.465564891082479,170.78571428571428,-181.9047619047619,
100,1522,1.948756199440302,170.78571428571428,-181.6931216931217,
101,1535,1.4306302228168741,171.0,-181.48148148148147,
102,1549,0.8715769648072038,171.0,-181.6931216931217,
103,1562,0.3518349222368068,170.78571428571428,-181.6931216931217,-2.1875
104,1579,-0.3281322054878796,171.0,-181.48148148148147,
105,1593,-0.887855050856752,171.0,-181.6931216931217,-2.1875
106,1609,-1.5266604541834656,170.78571428571428,-181.6931216931217,
107,1622,-2.0445688951130045,171.0,-181.48148148148147,-2.1875
108,1639,-2.7196943738394386,171.21428571428572,-181.48148148148147,
109,1652,-3.2338868145180806,171.21428571428572,-181.48148148148147,-2.1875
110,1669,-3.902940330667064,171.0,-181.6931216931217,
111,1682,-4.411566233569575,171.0,-181.48148148148147,-2.1875
112,1699,-5.072139916974057,171.21428571428572,-181.48148148148147,
113,1712,-5.57336877810005,171.0,-181.6931216931217,-2.1875
114,1728,-6.185058479275268,171.0,-181.48148148148147,
115,1742,-6.715113213545382,171.21428571428572,-181.26984126984127,-2.1875
116,1758,-7.314419922228197,171.21428571428572,-181.48148148148147,-2.1875
117,1778,-8.052950252741795,171.0,-181.48148148148147,
118,1792,-8.562325588087456,171.21428571428572,-181.26984126984127,-2.1875
119,1808,-9.136226487371594,171.21428571428572,-181.48148148148147,
120,1821,-9.595659578495209,171.0,-181.48148148148147,
121,1835,-10.08317095707223,171.21428571428572,-181.26984126984127,-2.1875
122,1851,-10.630625603383713,171.21428571428572,-181.26984126984127,-2.1875
123,1867,-11.167195417963862,171.21428571428572,-181.26984126984127,
124,1881,-11.627332855798045,171.21428571428572,-181.48148148148147,-2.1875
125,1897,-12.142021994740446,171.21428571428572,-181.26984126984127,
126,1911,-12.582194265944185,171.42857142857142,-181.26984126984127,
127,1924,-12.982100774191673,171.21428571428572,-181.26984126984127,
128,1937,-13.373231876680382,171.21428571428572,-181.26984126984127,
129,1951,-13.784332945852096,171.42857142857142,-181.05820105820106,
130,1964,-14.15640042281309,171.42857142857142,-181.26984126984127,-2.1875
131,1981,-14.628473388381039,171.21428571428572,-181.26984126984127,
132,1994,-14.978089419595689,171.21428571428572,-181.05820105820106,-2.1875
133,2011,-15.419967123567337,171.42857142857142,-181.26984126984127,
134,2024,-15.745873468863277,171.21428571428572,-181.26984126984127,
135,2037,-16.06113620330461,171.21428571428572,-181.26984126984127,-2.1875
136,2053,-16.43422610212346,171.21428571428572,-181.26984126984127,-2.1875
137,2070,-16.81218807100389,171.42857142857142,-181.05820105820106,
138,2083,-17.088127871383964,171.42857142857142,-181.26984126984127,-2.1875
139,2100,-17.431515448271764,171.21428571428572,-181.26984126984127,
140,2113,-17.6805308332711,171.42857142857142,-181.05820105820106,-2.1875
141,2130,-17.988108193703553,171.42857142857142,-181.26984126984127,
142,2143,-18.209302976840508,171.21428571428572,-181.26984126984127,-2.1875
143,2160,-18.47996317446376,171.42857142857142,-181.05820105820106,
144,2173,-18.672541293380743,171.64285714285714,-181.05820105820106,
145,2187,-18.865813922756466,171.42857142857142,-181.05820105820106,-2.1875
146,2202,-19.056475785695486,171.42857142857142,-181.26984126984127,-2.1875
147,2219,-19.251818769291468,171.42857142857142,-181.05820105820106,
148,2232,-19.38619473639555,171.64285714285714,-181.05820105820106,
149,2245,-19.50746637409333,171.42857142857142,-181.05820105820106,-2.1875
150,2265,-19.668263750946217,171.42857142857142,-181.05820105820106,-2.1875
151,2281,-19.774257492637652,171.42857142857142,-181.05820105820106,
152,2295,-19.850396258399265,171.64285714285714,-181.05820105820106,-2.1875
153,2311,-19.91835393347104,171.42857142857142,-181.05820105820106,
154,2325,-19.96108877517759,171.21428571428572,-181.26984126984127,
155,2338,-19.986759882162907,171.42857142857142,-181.05820105820106,
156,2351,-19.9989207005732,171.64285714285714,-181.05820105820106,
157,2365,-19.996898600040087,171.42857142857142,-181.26984126984127,-2.1875
158,2381,-19.97539251505286,171.42857142857142,-181.05820105820106,
159,2395,-19.93979552543539,171.64285714285714,-181.05820105820106,-2.1875
160,2411,-19.8799744873136,171.42857142857142,-181.05820105820106,
161,2425,-19.810930719334266,171.42857142857142,-181.05820105820106,
162,2438,-19.732910940141586,171.42857142857142,-181.05820105820106,-2.1875
163,2454,-19.618581825373813,171.42857142857142,-181.05820105820106,-2.1875
164,2470,-19.484164997056183,171.64285714285714,-181.05820105820106,
165,2483,-19.3602545212119,171.42857142857142,-181.05820105820106,
166,2497,-19.21217953957871,171.42857142857142,-181.05820105820106,-2.1875
167,2513,-19.02451581214829,171.42857142857142,-181.05820105820106,
168,2527,-18.84432376217668,171.64285714285714,-181.05820105820106,
169,2540,-18.66377152914595,171.42857142857142,-181.26984126984127,-2.1875
170,2555,-18.439773550964325,171.42857142857142,-181.26984126984127,-2.1875
171,2572,-18.16585966736416,171.42857142857142,-181.05820105820106,
172,2585,-17.94221045699285,171.42857142857142,-181.05820105820106,-2.1875
173,2602,-17.631470528092738,171.64285714285714,-181.05820105820106,
174,2615,-17.38007478063832,171.42857142857142,-181.26984126984127,-2.1875
175,2631,-17.054555452756695,171.42857142857142,-181.05820105820106,
176,2645,-16.755389603301957,171.42857142857142,-181.05820105820106,-2.1875
177,2662,-16.37448107757941,171.42857142857142,-181.26984126984127,
178,2675,-16.070403117043117,171.21428571428572,-181.26984126984127,
179,2688,-15.755462175968278,171.42857142857142,-181.05820105820106,-2.1875
180,2704,-15.35324540754029,171.42857142857142,-181.05820105820106,
181,2718,-14.988395635298621,171.42857142857142,-181.26984126984127,-2.1875
182,2734,-14.557053648835762,171.21428571428572,-181.26984126984127,-2.1875
183,2754,-13.996969013580323,171.42857142857142,-181.05820105820106,
184,2768,-13.591531663968526,171.21428571428572,-181.26984126984127,-2.1875
185,2785,-13.084921513115829,171.42857142857142,-181.05820105820106,
186,2798,-12.687276859745932,171.42857142857142,-181.05820105820106,-2.1875
187,2815,-12.154382054479715,171.21428571428572,-181.26984126984127,
188,2828,-11.737361559443112,171.21428571428572,-181.48148148148147,
189,2841,-11.312407054956617,171.21428571428572,-181.26984126984127,-2.1875
190,2857,-10.77891958092824,171.21428571428572,-181.26984126984127,-2.1875
191,2873,-10.23439543509321,171.42857142857142,-181.26984126984127,
192,2887,-9.749321325391248,171.21428571428572,-181.48148148148147,-2.1875
193,2903,-9.18561462753227,171.21428571428572,-181.26984126984127,
194,2917,-8.684636041086447,171.21428571428572,-181.26984126984127,-2.1875
195,2933,-8.103775526585633,171.21428571428572,-181.48148148148147,
196,2947,-7.588695445315189,171.0,-181.48148148148147,
197,2960,-7.105071199760853,171.21428571428572,-181.26984126984127,-2.1875
198,2976,-6.503283025633352,171.21428571428572,-181.26984126984127,
199,2989,-6.009398494818829,171.21428571428572,-181.48148148148147,-2.1875
200,3006,-5.3574722722343395,171.0,-181.48148148148147,
201,3019,-4.854721880690092,171.0,-181.48148148148147,-2.1875
202,3036,-4.192380404031036,171.21428571428572,-181.48148148148147,
203,3049,-3.6825735102613883,171.0,-181.48148148148147,-2.1875
204,3066,-3.0122004936007767,171.0,-181.48148148148147,
205,3079,-2.4971718518978863,171.21428571428572,-181.48148148148147,
206,3092,-1.9804552171166214,171.21428571428572,-181.48148148148147,-2.1875
207,3108,-1.34269548691631,171.21428571428572,-181.48148148148147,
208,3121,-0.8234732975601687,171.0,-181.6931216931217,-2.1875
209,3137,-0.1837035603921126,171.0,-181.6931216931217,-2.1875
210,3154,0.4962429242494766,171.0,-181.48148148148147,
211,3167,1.015856545220053,171.21428571428572,-181.48148148148147,-2.1875
