,Time,Command,Righthip,Lefthip,Pitch
0,0,0.0,0.4285714285714306,-0.529100529100532,-2.25
1,25,0.9995833854135666,0.4285714285714306,-0.529100529100532,-2.25
2,48,1.9170522386563407,0.0,-0.529100529100532,-2.25
3,70,2.79086229288473,0.4285714285714306,-0.529100529100532,-2.25
4,94,3.737890201958814,1.5,0.31746031746031633,-2.25
5,115,4.559550470703768,1.0714285714285694,0.529100529100532,-2.25
6,132,5.218880897097375,1.9285714285714306,0.31746031746031633,
7,145,5.719044502096711,1.7142857142857153,0.7407407407407405,
8,158,6.215342250796563,2.357142857142854,0.529100529100532,
9,172,6.745108657074122,2.5714285714285694,0.529100529100532,
10,185,7.23230863929924,2.7857142857142847,0.952380952380949,
11,198,7.7146198562939405,3.0,0.7407407407407405,-2.25
12,215,8.337416048584215,3.857142857142854,1.5873015873015888,
13,229,8.843102305385743,3.642857142857146,2.010582010582013,-2.25
14,245,9.41251776342316,3.642857142857146,2.010582010582013,
15,259,9.90287013763058,3.2142857142857153,2.857142857142854,
16,272,10.351254082944681,3.4285714285714306,3.492063492063494,-2.25
17,288,10.893474218576502,3.0,4.1269841269841265,-2.25
18,306,11.490112186175402,3.642857142857146,4.338624338624342,
19,320,11.943908827247842,4.071428571428569,4.338624338624342,-2.25
20,336,12.45104774703332,4.285714285714292,5.820105820105823,
21,349,12.853734308959329,4.928571428571431,6.24338624338624,-2.25
22,366,13.36717298151993,5.357142857142861,6.878306878306873,
23,379,13.749407924261728,5.785714285714292,7.724867724867721,-2.25
24,396,14.235190828087616,6.642857142857139,7.724867724867721,
25,409,14.595598518615533,6.642857142857139,8.57142857142857,
26,423,14.972689387226799,7.285714285714292,9.417989417989418,-2.25
27,438,15.36368230431277,8.357142857142861,9.841269841269835,-2.25
28,455,15.79007479379901,8.785714285714292,10.476190476190482,
29,468,16.103849882797356,9.642857142857139,11.111111111111114,-2.25
30,485,16.497714266769,10.5,11.746031746031747,
31,498,16.78606099177482,10.5,11.746031746031747,-2.25
32,515,17.145979783772066,10.714285714285708,11.746031746031747,
33,528,17.407860407952437,10.714285714285708,11.957671957671963,-2.25
34,545,17.732538288989744,10.5,13.015873015873012,
35,558,17.96701032489475,10.714285714285708,13.227513227513228,
36,572,18.20593201238204,10.92857142857143,12.80423280423281,-2.25
37,588,18.461498406710216,11.142857142857139,13.86243386243386,
38,601,18.65523873830971,11.57142857142857,13.650793650793645,-2.25
39,618,18.88954503028735,12.42857142857143,14.708994708994709,-2.25
40,634,19.090127680656167,12.42857142857143,14.920634920634924,
41,647,19.23871716160161,12.642857142857139,15.555555555555557,
42,661,19.3841902652223,13.07142857142857,15.978835978835974,
43,674,19.505667865968334,13.07142857142857,16.19047619047619,
44,688,19.621742285044647,13.5,16.402116402116405,
45,701,19.715753862976698,13.714285714285708,17.248677248677254,-2.25
46,718,19.81857446183418,13.714285714285708,16.825396825396822,
47,731,19.881750301755886,13.714285714285708,17.460317460317455,-2.25
48,748,19.944081172053206,14.142857142857139,18.095238095238102,
49,761,19.976193909162575,14.357142857142861,18.306878306878303,
50,774,19.994803499892306,13.92857142857143,18.095238095238102,
51,790,19.9991529299748,14.142857142857139,19.15343915343915,-2.25
52,807,19.981337329398933,13.92857142857143,19.15343915343915,-2.25
53,822,19.946436148434618,13.92857142857143,18.941798941798936,-2.25
54,838,19.889423914189933,13.92857142857143,18.941798941798936,
55,852,19.822830010834416,14.142857142857139,18.941798941798936,-2.25
56,869,19.721080041384425,13.714285714285708,18.941798941798936,
57,882,19.62788309128275,14.142857142857139,18.941798941798936,-2.25
58,898,19.494972921256423,14.357142857142861,18.941798941798936,
59,912,19.362296988172595,14.142857142857139,18.941798941798936,
60,925,19.225504059505997,13.714285714285708,19.15343915343915,-2.25
61,941,19.039313783669115,14.142857142857139,18.941798941798936,-2.25
62,957,18.833628914141592,14.142857142857139,18.941798941798936,
63,971,18.637828070273567,13.92857142857143,18.941798941798936,-2.25
64,987,18.396174007345646,13.92857142857143,18.730158730158735,
65,1001,18.16926630226405,14.142857142857139,19.365079365079367,-2.25
66,1017,17.89251273960719,14.357142857142861,18.095238095238102,
67,1031,17.635314796019397,14.357142857142861,18.51851851851852,-2.25
68,1047,17.32445774760119,14.357142857142861,17.460317460317455,
69,1061,17.037895200363664,14.57142857142857,17.460317460317455,
70,1074,16.75983663205249,13.92857142857143,17.037037037037038,-2.25
71,1090,16.402078952427484,14.57142857142857,17.883597883597886,
72,1103,16.099017308209007,14.142857142857139,17.037037037037038,-2.25
73,1120,15.686318501688397,14.785714285714292,17.248677248677254,
74,1133,15.358465130150005,13.92857142857143,16.19047619047619,-2.25
75,1150,14.914104243534405,14.142857142857139,14.920634920634924,
76,1163,14.562639062774476,14.57142857142857,14.708994708994709,
77,1176,14.201330092560333,14.57142857142857,15.343915343915342,
78,1190,13.801499671138728,14.57142857142857,14.920634920634924,
79,1203,13.420533730065088,14.57142857142857,14.708994708994709,-2.25
80,1220,12.908699966687413,14.57142857142857,14.708994708994709,
81,1233,12.507197914677077,14.57142857142857,14.285714285714292,-2.25
82,1250,11.96944288207913,14.357142857142861,14.497354497354493,
83,1263,11.548849692949155,14.785714285714292,13.650793650793645,-2.25
84,1282,10.920173907878183,14.142857142857139,14.285714285714292,-2.25
85,1299,10.344282343665682,13.714285714285708,13.86243386243386,
86,1312,9.895791173730169,13.92857142857143,13.86243386243386,
87,1325,9.440610825797652,14.785714285714292,13.650793650793645,-2.25
88,1341,8.871661327499847,14.57142857142857,13.86243386243386,
89,1354,8.402674083234153,13.92857142857143,13.650793650793645,-2.25
90,1371,7.780862382424637,13.92857142857143,13.650793650793645,
91,1384,7.299252404659199,13.92857142857143,14.285714285714292,-2.25
92,1401,6.662060735095735,13.714285714285708,13.015873015873012,
93,1414,6.169561299674137,13.714285714285708,13.227513227513228,
94,1427,5.672891475753775,13.92857142857143,11.957671957671963,-2.25
95,1443,5.056377068551738,12.857142857142861,11.322751322751316,-2.25
96,1460,4.395672244502339,12.642857142857139,10.687830687830683,
97,1473,3.8869584464478275,12.0,9.841269841269835,-2.25
98,1490,3.217806299349115,11.142857142857139,9.417989417989418,
99,1503,2.7035509713481174,11.142857142857139,8.994708994709,-2.25
100,1520,2.028359726332037,9.642857142857139,8.359788359788354,
101,1533,1.5104136322362374,9.42857142857143,7.51322751322752,-2.25
102,1550,0.8316132486658099,8.57142857142857,6.878306878306873,
103,1563,0.3118404350992924,7.285714285714292,6.24338624338624,
104,1576,-0.208143170726329,7.071428571428569,5.6084656084656075,-2.25
105,1592,-0.8478927355549605,6.214285714285708,4.973544973544975,
106,1606,-1.4069838068479998,6.0,4.761904761904759,-2.25
107,1622,-2.0445688951130045,4.928571428571431,4.761904761904759,
108,1635,-2.5610952853275935,4.285714285714292,4.338624338624342,-2.25
109,1652,-3.2338868145180806,3.642857142857146,3.7037037037037024,
110,1665,-3.7458932708580632,3.857142857142854,3.7037037037037024,-2.25
111,1681,-4.372542665741005,2.7857142857142847,3.0687830687830697,
112,1695,-4.917210085692741,2.357142857142854,3.2804232804232782,-2.25
113,1712,-5.57336877810005,1.9285714285714306,2.6455026455026456,
114,1725,-6.070830254168587,1.5,2.433862433862437,-2.25
115,1742,-6.715113213545382,0.2142857142857153,1.5873015873015888,
116,1755,-7.202601989439364,0.0,1.7989417989417973,-2.25
117,1774,-7.906237304032602,-1.0714285714285694,0.7407407407407405,-2.25
118,1790,-8.489959389671652,-1.9285714285714306,-0.31746031746031633,
