,Time,Command,Righthip,Pitch,Pitchdot
0,0,2.0,0.0,-1.0,-0.015271630954950384
1,33,1.875,0.0,-0.9375,-0.04363323129985824
2,63,1.875,-1.5,-0.9375,-0.014180800172453928
3,93,2.0,0.0,-1.0,0.04581489286485115
4,123,2.25,-0.2142857142857153,-1.125,0.038179077387375956
5,151,2.375,1.0714285714285694,-1.1875,0.04254240051736178
6,176,2.75,0.6428571428571459,-1.375,0.061086523819801536
7,203,3.0,0.8571428571428541,-1.5,0.09053895494720585
8,230,3.375,1.9285714285714306,-1.6875,0.1832595714594046
9,257,4.125,1.7142857142857153,-2.0625,0.2476185876266955
10,283,5.0,1.9285714285714306,-2.5,0.2585268954516601
11,309,5.625,1.9285714285714306,-2.8125,0.32070425005395803
12,335,6.875,3.4285714285714306,-3.4375,0.358883327441334
13,361,7.625,2.5714285714285694,-3.8125,0.39269908169872414
14,388,9.0,2.5714285714285694,-4.5,0.3883357585687383
15,415,10.25,2.5714285714285694,-5.125,0.28688849579656794
16,442,10.5,3.642857142857146,-5.25,0.04145156973486533
17,467,10.875,4.071428571428569,-5.4375,0.08508480103472356
18,496,11.25,6.0,-5.625,0.05999569303730508
19,521,11.25,7.071428571428569,-5.625,-0.06217735460229799
20,549,11.125,6.428571428571431,-5.5625,-0.04036073895236887
21,574,11.125,7.928571428571431,-5.5625,-0.008726646259971648
22,601,11.25,8.142857142857139,-5.625,0.16907877128695067
23,626,12.125,8.142857142857139,-6.0625,0.31852258848896514
24,653,13.0,8.357142857142861,-6.5,0.46142142099600086
25,680,14.875,8.785714285714292,-7.4375,0.7494007475750653
26,706,17.375,7.928571428571431,-8.6875,0.7526732399225546
27,733,19.0,8.57142857142857,-9.5,0.717766654882668
28,759,21.25,10.5,-10.625,0.6523168079328807
29,786,23.25,13.92857142857143,-11.625,0.5683228376806536
30,811,24.75,16.285714285714292,-12.375,0.7581273938350369
31,837,27.125,18.214285714285708,-13.5625,0.6414085001079161
32,863,28.375,19.07142857142857,-14.1875,0.37306412761378793
33,892,29.5,20.57142857142857,-14.75,0.19198621771937624
34,917,29.75,24.42857142857143,-14.875,0.02945243112740431
35,944,29.5,25.285714285714292,-14.75,-0.22252947962927702
36,969,28.625,25.5,-14.3125,-0.33597588100890846
37,995,27.875,25.714285714285708,-13.9375,-0.43960480534607177
38,1020,26.25,25.714285714285708,-13.125,-0.5497787143782138
39,1047,24.375,25.285714285714292,-12.1875,-0.5388704065532492
40,1072,23.25,26.14285714285714,-11.625,-0.5170537909033202
41,1099,21.625,25.714285714285708,-10.8125,-0.4341506514335895
42,1125,20.75,25.07142857142857,-10.375,-0.2716168648416175
43,1152,20.0,25.07142857142857,-10.0,-0.19962203319685143
44,1181,19.5,24.64285714285714,-9.75,-0.0818123086872342
45,1207,19.25,23.57142857142857,-9.625,-0.009817477042468103
46,1234,19.25,22.714285714285708,-9.625,-0.030543261909900768
47,1260,19.0,23.57142857142857,-9.5,-0.02399827721492203
48,1286,18.875,22.5,-9.4375,-0.06872233929727672
49,1312,18.5,23.14285714285714,-9.25,-0.22689280275926285
50,1339,17.5,22.92857142857143,-8.75,-0.33052172709642613
51,1364,16.625,23.35714285714286,-8.3125,-0.4886921905584123
52,1392,14.625,24.0,-7.3125,-0.681769239060285
53,1417,12.75,22.07142857142857,-6.375,-0.8257589023498172
54,1444,10.0,20.785714285714292,-5.0,-0.9992009967667537
55,1469,6.5,18.64285714285714,-3.25,-1.0493792127615906
56,1496,4.375,14.785714285714292,-2.1875,-0.8606654873897037
57,1521,2.0,11.785714285714292,-1.0,-0.6130468997630083
58,1547,1.0,8.785714285714292,-0.5,-0.2519819107566813
59,1572,0.5,5.785714285714292,-0.25,0.004363323129985824
60,1598,0.625,3.857142857142854,-0.3125,0.15707963267948966
61,1623,1.25,4.071428571428569,-0.625,0.2279836335417593
62,1650,2.0,4.285714285714292,-1.0,0.19525871006686563
