,Time,Command,Righthip,Lefthip,Pitch,Pitchdot
0,0,0.0,1.0714285714285694,-0.529100529100532,-1.6875,0.0
1,42,1.6780250169028164,1.0714285714285694,-0.529100529100532,-1.6875,0.002181661564992912
2,82,3.26531661346758,1.0714285714285694,0.7407407407407405,-1.6875,-0.004363323129985824
3,122,4.831721326942733,1.7142857142857153,0.529100529100532,-1.6875,-0.003272492347489368
4,156,6.139253843927351,3.0,1.5873015873015888,-1.6875,-0.00545415391248228
5,190,7.418409388259653,3.857142857142854,2.6455026455026456,-1.6875,-0.004363323129985824
6,224,8.663275423526851,2.357142857142854,4.338624338624342,-1.6875,-0.002181661564992912
7,257,9.833286203829108,4.071428571428569,3.2804232804232782,-1.6875,-0.00545415391248228
8,292,11.027307885672489,3.2142857142857153,3.492063492063494,-1.6875,-0.001090830782496456
9,325,12.103728114720791,3.0,4.761904761904759,-1.6875,0.0
10,358,13.127443640076438,3.2142857142857153,7.089947089947088,-1.6875,-0.001090830782496456
11,393,14.150644316881479,3.857142857142854,8.148148148148152,-1.6875,-0.007635815477475192
12,429,15.130723462884895,5.785714285714292,10.05291005291005,-1.6875,-0.014180800172453928
13,463,15.984443967610844,6.857142857142861,10.899470899470899,-1.6875,-0.007635815477475192
14,496,16.74243371077395,9.42857142857143,10.476190476190482,-1.625,-0.0545415391248228
15,530,17.447109646899726,10.5,11.534391534391531,-1.4375,-0.17671458676442586
16,562,18.036719330407998,10.07142857142857,12.38095238095238,-1.0,-0.22252947962927702
17,596,18.582208595216517,11.57142857142857,13.015873015873012,-0.625,-0.23561944901923448
18,629,19.02953608002933,11.57142857142857,13.227513227513228,-0.25,-0.22143864884678055
19,661,19.3841902652223,11.57142857142857,14.920634920634924,0.125,-0.20289452554434081
20,695,19.67401629622553,12.42857142857143,14.708994708994709,0.5,-0.20289452554434081
21,728,19.86836269070937,13.92857142857143,16.19047619047619,0.875,-0.2083486794568231
22,760,19.974202879511658,12.214285714285708,15.767195767195773,1.1875,-0.1538071403320003
23,794,19.997040409278544,13.92857142857143,18.095238095238102,1.5,-0.12326387842209953
24,828,19.92744724905488,13.5,17.248677248677254,1.6875,-0.1341721862470641
25,860,19.77779532009403,14.142857142857139,20.423280423280417,1.9375,-0.1636246173744684
26,894,19.530077487855145,13.92857142857143,18.51851851851852,2.375,-0.23125612588924865
27,928,19.19208737027678,13.5,18.306878306878303,2.75,-0.2912518189265537
28,960,18.792909473706498,13.5,18.306878306878303,3.25,-0.35779249665883756
29,995,18.268267226824506,13.92857142857143,18.306878306878303,4.0625,-0.38288160465625604
30,1029,17.672908620055043,14.357142857142861,17.883597883597886,4.6875,-0.36760997370130566
31,1061,17.037895200363664,13.5,18.730158730158735,5.25,-0.3108867730114899
32,1096,16.263569815841848,14.142857142857139,18.306878306878303,5.9375,-0.2585268954516601
33,1129,15.460459266012148,14.357142857142861,16.402116402116405,6.3125,-0.16144295580947549
34,1164,14.535192476430701,13.07142857142857,17.248677248677254,6.625,-0.11344640137963143
35,1199,13.538732321462621,12.857142857142861,15.555555555555557,6.8125,-0.08617563181722002
36,1232,12.538386338136982,13.92857142857143,14.497354497354493,6.9375,-0.044724062082354694
37,1264,11.516169362351347,12.642857142857139,13.86243386243386,7.0,0.030543261909900768
38,1299,10.344282343665682,13.714285714285708,14.497354497354493,6.875,0.13853550937704992
39,1331,9.228356460840942,13.285714285714292,13.015873015873012,6.6875,0.1908953869368798
40,1364,8.038032917168978,13.5,13.227513227513228,6.1875,0.2279836335417593
41,1398,6.7750869913317615,12.214285714285708,13.015873015873012,5.8125,0.20725784867432664
42,1431,5.519282863282736,11.785714285714292,9.417989417989418,5.5,0.21598449493429828
43,1463,4.278527987323332,10.92857142857143,8.783068783068785,5.125,0.19525871006686563
44,1498,2.901576770555966,9.0,8.148148148148152,4.6875,0.18871372537188688
45,1531,1.5901728750697068,7.071428571428569,4.761904761904759,4.375,0.17998707911191522
46,1563,0.3118404350992924,5.142857142857139,4.550264550264544,4.125,0.15707963267948966
47,1597,-1.0476671995985818,3.4285714285714306,2.2222222222222214,3.75,0.17016960206944712
48,1631,-2.4023322875916726,2.5714285714285694,3.7037037037037024,3.4375,0.19416787928436915
49,1663,-3.6672792112027657,2.142857142857146,3.2804232804232782,3.125,0.20398535632683726
50,1697,-4.9947149589997935,0.6428571428571459,1.1640211640211646,2.625,0.2301652951067522
51,1730,-6.261087182059404,-2.357142857142854,-0.7407407407407405,2.25,0.23234695667174513
52,1762,-7.463100198601779,-3.4285714285714306,-1.5873015873015888,1.875,0.27052603405912107
53,1796,-8.706645838173143,-4.5,-4.1269841269841265,1.375,0.28688849579656794
54,1828,-9.840379609234363,-5.357142857142854,-5.396825396825399,0.75,0.29888763440402893
55,1861,-10.967292427461189,-6.857142857142854,-6.87830687830688,0.25,0.31852258848896514
56,1898,-12.173782673508848,-7.071428571428569,-5.820105820105823,-0.375,0.29670597283903605
57,1932,-13.22385232751975,-8.785714285714285,-7.724867724867728,-0.8125,0.25634523388666713
58,1964,-14.15640042281309,-10.285714285714285,-7.513227513227513,-1.25,0.17889624832941878
59,1999,-15.109873906664795,-10.5,-4.973544973544975,-1.5,0.08726646259971647
60,2033,-15.965278870699409,-11.357142857142854,-3.915343915343918,-1.5625,0.016362461737446838
61,2065,-16.70302091570187,-12.42857142857143,-7.301587301587304,-1.625,0.004363323129985824
62,2100,-17.431515448271764,-13.285714285714285,-7.089947089947088,-1.625,0.018544123302439753
63,2133,-18.040237946961717,-13.92857142857143,-5.185185185185183,-1.625,0.04581489286485115
64,2165,-18.55551729289751,-14.357142857142854,-6.24338624338624,-1.75,0.07744898555724837
65,2200,-19.03204147779032,-16.07142857142857,-8.57142857142857,-1.9375,0.10471975511965978
66,2233,-19.395989665541546,-15.214285714285715,-11.957671957671955,-2.125,0.15926129424448257
67,2265,-19.668263750946217,-15.0,-13.439153439153436,-2.4375,0.17998707911191522
68,2299,-19.869294226955724,-16.285714285714285,-14.4973544973545,-2.8125,0.18435040224190105
69,2332,-19.976589634242927,-15.857142857142854,-15.978835978835981,-3.125,0.18653206380689397
70,2364,-19.99756301015831,-16.714285714285715,-15.132275132275133,-3.4375,0.18544123302439752
71,2398,-19.930132690600637,-16.92857142857143,-16.402116402116405,-3.75,0.18980455615438332
72,2431,-19.776582632669292,-17.142857142857146,-17.037037037037038,-4.1875,0.1930770485018727
73,2464,-19.536917047536008,-17.57142857142857,-17.67195767195767,-4.5,0.20943951023931956
74,2497,-19.21217953957871,-16.5,-17.460317460317462,-4.875,0.23125612588924865
75,2529,-18.817372642857045,-18.0,-18.095238095238095,-5.375,0.23452861823673804
76,2562,-18.329549310159315,-17.357142857142854,-17.248677248677247,-5.8125,0.2476185876266955
77,2595,-17.761911439655083,-16.285714285714285,-17.67195767195767,-6.1875,0.23125612588924865
78,2630,-17.075415552690867,-16.714285714285715,-17.460317460317462,-6.75,0.2181661564992912
79,2664,-16.328415229585953,-16.714285714285715,-17.460317460317462,-7.0625,0.22143864884678055
80,2697,-15.531174244873878,-17.142857142857146,-17.460317460317462,-7.4375,0.20289452554434081
81,2729,-14.693470222232413,-16.5,-17.67195767195767,-7.875,0.1908953869368798
82,2763,-13.737570562045176,-16.714285714285715,-17.248677248677247,-8.1875,0.17889624832941878
83,2796,-12.749017965886356,-15.42857142857143,-16.825396825396822,-8.5,0.14726215563702155
84,2828,-11.737361559443112,-16.07142857142857,-14.920634920634917,-8.75,0.1559888018969932
85,2861,-10.643801642118921,-15.0,-15.132275132275133,-9.0625,0.14180800172453928
86,2896,-9.433427855894966,-13.07142857142857,-14.920634920634917,-9.3125,0.12217304763960307
87,2928,-8.286213902207088,-11.57142857142857,-13.650793650793652,-9.5,0.08944812416470939
88,2962,-7.030232960600841,-11.57142857142857,-11.111111111111114,-9.6875,0.0545415391248228
89,2996,-5.741756746192086,-9.42857142857143,-11.534391534391531,-9.75,-0.06654067773228381
90,3028,-4.504721045350128,-8.357142857142854,-8.783068783068785,-9.625,-0.14944381720201447
91,3061,-3.209765240196359,-7.928571428571431,-9.841269841269842,-9.3125,-0.18653206380689397
92,3095,-1.8610100652537782,-4.714285714285715,-9.417989417989418,-8.9375,-0.20289452554434081
93,3127,-0.5836232820413211,-3.0,-8.783068783068785,-8.6875,-0.136353847812057
94,3161,0.776098946242542,-2.7857142857142847,-6.24338624338624,-8.5,-0.10471975511965978
95,3195,2.132233875624453,-1.9285714285714306,-5.6084656084656075,-8.25,-0.07963064712224129
96,3227,3.3997048333292073,-0.4285714285714306,-3.492063492063494,-8.125,-0.11453723216212788
97,3261,4.731022516816603,1.7142857142857153,-1.7989417989417973,-7.9375,-0.1505346479845109
