,Time,Command,Righthip,Pitch,Pitchdot
0,0,-10.350000000000001,171.0,-4.5,-0.18750000000000003
1,36,-10.350000000000001,171.0,-4.5,0.0625
2,67,-10.371428571428574,171.21428571428572,-4.5,-0.125
3,99,-10.392857142857142,171.42857142857142,-4.5,0.0625
4,127,-10.392857142857142,171.42857142857142,-4.5,0.125
5,154,-10.350000000000001,171.0,-4.5,-0.0
6,181,-10.371428571428574,171.21428571428572,-4.5,-0.0
7,208,0.0,171.21428571428572,-10.25,0.125
8,230,0.0,171.21428571428572,-4.5,0.125
9,251,-10.350000000000001,171.0,-4.5,0.0625
10,278,-10.371428571428574,171.21428571428572,-4.5,0.18750000000000003
11,306,-10.371428571428574,171.21428571428572,-4.5,0.0625
12,332,-10.350000000000001,171.0,-4.5,-0.0
13,359,-10.392857142857142,171.42857142857142,-4.5,0.0625
14,386,-10.371428571428574,171.21428571428572,-4.5,-0.0
15,415,-10.392857142857142,171.42857142857142,-4.5,0.125
16,442,-10.371428571428574,171.21428571428572,-4.5,0.125
17,469,-10.371428571428574,171.21428571428572,-4.5,-0.0
18,497,-10.371428571428574,171.21428571428572,-4.5,0.125
19,524,-10.392857142857142,171.42857142857142,-4.5,-0.0625
20,550,-10.371428571428574,171.21428571428572,-4.5,-0.0625
21,578,-10.392857142857142,171.42857142857142,-4.5,-0.0
22,604,-10.371428571428574,171.21428571428572,-4.5,-0.0625
23,631,-10.392857142857142,171.42857142857142,-4.5,-0.0
24,657,-10.371428571428574,171.21428571428572,-4.5,-0.0625
25,684,-10.392857142857142,171.42857142857142,-4.5,-0.18750000000000003
26,710,-10.371428571428574,171.21428571428572,-4.5,-0.125
27,738,-10.371428571428574,171.21428571428572,-4.5,-0.0
28,764,-10.371428571428574,171.21428571428572,-4.5,0.0625
29,791,-10.371428571428574,171.21428571428572,-4.5,-0.0625
30,818,-10.392857142857142,171.42857142857142,-4.5,-0.18750000000000003
31,845,-10.350000000000001,171.0,-4.5,0.0625
32,871,-10.371428571428574,171.21428571428572,-4.5,-0.0
33,899,-10.392857142857142,171.42857142857142,-4.5,-0.125
34,927,-10.371428571428574,171.21428571428572,-4.5,-0.0625
35,954,-10.371428571428574,171.21428571428572,-4.5,-0.0
36,981,-10.371428571428574,171.21428571428572,-4.5,-0.125
37,1008,-10.371428571428574,171.21428571428572,-4.5,-0.0625
38,1035,-10.371428571428574,171.21428571428572,-4.5,-0.125
39,1062,-10.392857142857142,171.42857142857142,-4.5,-0.0625
40,1089,-10.371428571428574,171.21428571428572,-4.5,-0.0625
41,1115,-10.392857142857142,171.42857142857142,-4.5,-0.18750000000000003
42,1142,-10.392857142857142,171.42857142857142,-4.5,0.125
43,1169,-10.371428571428574,171.21428571428572,-4.5,-0.0625
44,1199,-10.392857142857142,171.42857142857142,-4.5,-0.18750000000000003
45,1226,-10.350000000000001,171.0,-4.5,-0.0
46,1253,-10.371428571428574,171.21428571428572,-4.5,-0.0625
47,1280,-10.371428571428574,171.21428571428572,-4.5,-0.25
48,1307,-10.350000000000001,171.0,-4.5,0.0625
49,1334,-10.392857142857142,171.42857142857142,-4.5,0.0625
50,1360,-10.350000000000001,171.0,-4.5,0.25
51,1386,-10.392857142857142,171.42857142857142,-4.5,0.18750000000000003
52,1413,-10.371428571428574,171.21428571428572,-4.5,0.125
53,1440,-10.371428571428574,171.21428571428572,-4.5,0.25
54,1466,-10.371428571428574,171.21428571428572,-4.5,-0.0625
55,1493,-10.392857142857142,171.42857142857142,-4.5,-0.125
56,1520,-10.371428571428574,171.21428571428572,-4.5,-0.0
57,1547,-10.371428571428574,171.21428571428572,-4.5,-0.0625
58,1574,-10.392857142857142,171.42857142857142,-4.5,-0.125
