,Time,Command,Righthip,Pitch,Pitchdot
0,0,2.8125,0.6428571428571459,-2.8125,-0.06981317007977318
1,34,2.6875,0.4285714285714306,-2.6875,-0.06217735460229799
2,64,2.5625,0.2142857142857153,-2.5625,-0.06763150851478027
3,95,2.4375,0.4285714285714306,-2.4375,0.032724923474893676
4,124,2.5625,1.7142857142857153,-2.5625,0.08835729338221293
5,151,2.625,1.9285714285714306,-2.625,-0.06435901616729091
6,176,2.4375,1.5,-2.4375,-0.12217304763960307
7,203,2.375,2.357142857142854,-2.375,-0.08617563181722002
8,229,2.25,1.2857142857142847,-2.25,-0.008726646259971648
9,256,2.3125,2.357142857142854,-2.3125,0.026179938779914945
10,282,2.375,2.5714285714285694,-2.375,0.06326818538479445
11,309,2.375,2.357142857142854,-2.375,-0.04036073895236887
12,336,2.375,2.5714285714285694,-2.375,0.02181661564992912
13,363,2.375,2.5714285714285694,-2.375,0.03490658503988659
14,390,2.4375,2.5714285714285694,-2.4375,0.05345070834232634
15,417,2.5,2.5714285714285694,-2.5,0.04581489286485115
16,445,2.5625,2.357142857142854,-2.5625,0.017453292519943295
17,471,2.5625,2.5714285714285694,-2.5625,0.001090830782496456
18,497,2.5,2.7857142857142847,-2.5,0.01090830782496456
19,523,2.5,2.5714285714285694,-2.5,0.05345070834232634
20,550,2.625,2.5714285714285694,-2.625,0.15817046346198613
21,575,2.8125,2.7857142857142847,-2.8125,0.07090400086226964
22,601,3.0,2.5714285714285694,-3.0,0.10690141668465268
23,629,3.125,2.5714285714285694,-3.125,0.04690572364734761
24,656,3.25,2.5714285714285694,-3.25,0.08617563181722002
25,681,3.375,1.2857142857142847,-3.375,0.13526301702956053
26,708,3.5625,0.8571428571428541,-3.5625,0.12544553998709243
27,734,3.75,2.7857142857142847,-3.75,0.11126473981463851
28,761,3.875,3.0,-3.875,0.08835729338221293
29,788,4.0,3.0,-4.0,0.10581058590215622
30,814,4.25,3.4285714285714306,-4.25,0.29343348049154666
31,841,4.5625,3.642857142857146,-4.5625,0.02181661564992912
32,866,4.6875,4.071428571428569,-4.6875,0.1461713248545251
33,895,4.9375,3.2142857142857153,-4.9375,0.09817477042468103
34,921,5.1875,3.2142857142857153,-5.1875,0.136353847812057
35,948,5.3125,4.071428571428569,-5.3125,0.12544553998709243
36,973,5.5625,4.5,-5.5625,0.14835298641951802
37,999,5.625,5.571428571428569,-5.625,0.026179938779914945
38,1024,5.625,4.928571428571431,-5.625,0.00545415391248228
39,1050,5.5625,5.785714285714292,-5.5625,-0.2694352032766246
40,1075,5.25,5.571428571428569,-5.25,-0.04363323129985824
41,1102,5.125,4.285714285714292,-5.125,-0.09272061651219876
42,1127,5.0625,5.357142857142861,-5.0625,-0.11562806294462433
43,1154,4.9375,5.357142857142861,-4.9375,-0.09926560120717749
44,1182,4.6875,5.357142857142861,-4.6875,-0.2007128639793479
45,1209,4.4375,5.571428571428569,-4.4375,-0.24652775684419906
46,1237,4.0625,5.357142857142861,-4.0625,-0.23125612588924865
47,1263,3.625,5.571428571428569,-3.625,-0.2694352032766246
48,1290,3.3125,5.357142857142861,-3.3125,-0.3337942194439155
49,1316,2.6875,5.142857142857139,-2.6875,-0.38288160465625604
50,1340,2.375,5.785714285714292,-2.375,-0.06654067773228381
51,1361,2.3125,4.714285714285708,-2.3125,0.028361600344907856
52,1381,2.375,5.571428571428569,-2.375,0.06872233929727672
53,1401,2.5,4.5,-2.5,0.12544553998709243
54,1421,2.5625,4.714285714285708,-2.5625,0.05672320068981571
55,1442,2.625,6.0,-2.625,0.08944812416470939
56,1462,2.8125,4.5,-2.8125,0.29561514205653955
57,1482,3.1875,6.0,-3.1875,0.4385139745635753
58,1504,3.6875,5.571428571428569,-3.6875,0.5268712679457882
59,1523,4.25,5.357142857142861,-4.25,0.31525009614147576
60,1544,4.75,6.214285714285708,-4.75,0.31634092692397225
61,1565,4.9375,5.785714285714292,-4.9375,0.31634092692397225
62,1585,5.375,5.571428571428569,-5.375,0.28579766501407144
63,1606,5.75,5.357142857142861,-5.75,0.29888763440402893
64,1626,6.0625,5.571428571428569,-6.0625,0.28688849579656794
65,1647,6.375,5.571428571428569,-6.375,0.29343348049154666
66,1667,6.6875,5.571428571428569,-6.6875,0.2825251726665821
67,1688,7.0,5.357142857142861,-7.0,0.29670597283903605
68,1710,7.375,5.571428571428569,-7.375,0.30652344988150415
69,1729,7.6875,5.357142857142861,-7.6875,0.3436116964863836
70,1751,8.125,5.142857142857139,-8.125,0.37088246604879505
71,1770,8.5625,5.785714285714292,-8.5625,0.41233403578366035
72,1794,9.0,6.0,-9.0,0.4603305902135044
73,1815,9.5625,5.357142857142861,-9.5625,0.5912302841130791
74,1836,10.8125,5.785714285714292,-10.8125,0.8857545953871222
75,1856,11.75,5.785714285714292,-11.75,0.7374016089676042
76,1876,12.6875,4.714285714285708,-12.6875,0.8464846872172498
77,1897,13.875,5.571428571428569,-13.875,1.0537425358915764
78,1917,15.25,5.785714285714292,-15.25,1.279544507868343
79,1938,16.8125,5.785714285714292,-16.8125,1.3929909092479742
80,1960,18.5,4.5,-18.5,1.559888018969932
81,1979,20.5625,8.142857142857139,-20.5625,1.920953007976259
82,2000,23.0,9.42857142857143,-23.0,2.34855867471487
83,2020,25.3125,10.07142857142857,-25.3125,0.8475755179997463
84,2045,26.8125,11.142857142857139,-26.8125,1.0035643198967394
85,2070,28.0,14.57142857142857,-28.0,0.9086620418195478
86,2097,29.0625,17.57142857142857,-29.0625,0.4265148359561143
