Time,Command,Reading
-0.0000,-0.00,-7.60
0.0030,0.96,-7.74
0.0070,2.24,-7.60
0.0110,3.50,-15.28
0.0150,4.75,-11.15
0.0190,5.99,-10.16
0.0230,7.20,-6.89
0.0260,8.08,-6.47
0.0300,9.24,-6.04
0.0340,10.35,-4.90
0.0380,11.42,-5.33
0.0420,12.45,-4.19
0.0460,13.43,-4.05
0.0490,14.12,-3.48
0.0530,15.00,-2.91
0.0570,15.81,-2.06
0.0610,16.57,-1.21
0.0650,17.25,0.36
0.0690,17.86,0.50
0.0720,18.27,0.78
0.0760,18.75,0.50
0.0800,19.16,1.21
0.0840,19.49,2.63
0.0880,19.74,2.91
0.0910,19.87,2.91
0.0950,19.97,3.62
0.0990,20.00,4.05
0.1030,19.94,4.33
0.1070,19.80,5.04
0.1110,19.58,5.19
0.1140,19.36,5.75
0.1180,19.00,5.90
0.1220,18.56,6.04
0.1260,18.05,5.75
0.1300,17.46,6.32
0.1340,16.80,6.61
0.1370,16.26,6.75
0.1410,15.49,6.89
0.1450,14.64,7.46
0.1490,13.74,7.60
0.1530,12.79,8.17
0.1570,11.78,8.03
0.1600,10.99,9.02
0.1640,9.90,8.31
0.1680,8.76,8.88
0.1720,7.60,8.45
0.1760,6.40,9.02
0.1800,5.17,9.59
0.1830,4.24,9.45
0.1870,2.98,8.88
0.1910,1.71,8.60
0.1950,0.43,8.17
0.1990,-0.85,7.89
0.2030,-2.12,8.03
0.2060,-3.08,7.89
0.2100,-4.33,7.46
0.2140,-5.57,6.89
0.2180,-6.79,5.75
0.2220,-7.98,6.47
0.2260,-9.14,5.33
0.2290,-9.98,4.48
0.2330,-11.07,4.76
0.2370,-12.11,3.77
0.2410,-13.10,2.91
0.2450,-14.04,2.91
0.2490,-14.92,2.91
0.2520,-15.55,1.92
0.2560,-16.32,0.64
0.2600,-17.03,0.36
0.2640,-17.66,-0.07
0.2680,-18.23,-0.07
0.2720,-18.72,-0.36
0.2750,-19.03,-1.07
0.2790,-19.39,-2.06
0.2830,-19.66,-2.77
0.2870,-19.86,-2.63
0.2910,-19.97,-3.48
0.2950,-20.00,-3.48
0.2980,-19.97,-3.62
0.3020,-19.86,-4.33
0.3060,-19.66,-4.48
0.3100,-19.39,-5.33
0.3140,-19.04,-4.76
0.3180,-18.61,-6.32
0.3210,-18.23,-6.32
0.3250,-17.67,-5.90
0.3290,-17.03,-6.18
0.3330,-16.33,-6.75
0.3370,-15.56,-6.89
0.3410,-14.72,-7.32
0.3440,-14.05,-7.18
0.3480,-13.12,-7.60
0.3520,-12.12,-7.74
0.3560,-11.08,-7.89
0.3600,-9.99,-8.31
0.3640,-8.86,-8.45
0.3670,-7.99,-8.45
0.3710,-6.81,-8.74
0.3750,-5.59,-8.74
0.3790,-4.35,-8.74
0.3830,-3.09,-9.02
0.3870,-1.82,-10.16
0.3900,-0.86,-9.59
0.3940,0.42,-9.88
0.3980,1.69,-8.74
0.4020,2.97,-8.74
0.4060,4.22,-8.31
0.4100,5.47,-8.60
0.4130,6.38,-7.89
0.4170,7.58,-7.74
0.4210,8.75,-7.32
0.4250,9.88,-7.18
0.4290,10.97,-6.32
0.4320,11.76,-5.90
0.4360,12.77,-5.61
0.4400,13.73,-4.90
0.4440,14.63,-4.48
0.4480,15.48,-4.05
0.4520,16.25,-3.20
0.4550,16.79,-2.49
0.4590,17.46,-1.63
0.4630,18.04,-0.64
0.4670,18.56,0.21
0.4710,19.00,0.92
0.4750,19.36,1.35
0.4780,19.58,1.78
0.4820,19.80,2.20
0.4860,19.94,2.06
0.4900,20.00,3.20
0.4940,19.97,3.06
0.4980,19.87,4.48
0.5010,19.74,3.91
0.5050,19.49,4.19
0.5090,19.16,4.62
0.5130,18.76,4.76
0.5170,18.28,5.61
0.5210,17.72,5.90
0.5240,17.26,5.47
0.5280,16.57,6.18
0.5320,15.82,6.75
0.5360,15.01,7.18
0.5400,14.13,7.46
0.5440,13.20,6.61
0.5470,12.46,8.31
0.5510,11.44,7.89
0.5550,10.36,7.74
0.5590,9.25,8.74
0.5630,8.10,8.74
0.5670,6.91,8.74
0.5700,6.00,8.74
0.5740,4.77,9.31
0.5780,3.52,8.74
0.5820,2.25,8.45
0.5860,0.98,8.17
0.5900,-0.30,7.89
0.5930,-1.26,7.89
0.5970,-2.54,7.03
0.6010,-3.80,6.89
0.6050,-5.05,6.18
0.6090,-6.28,6.61
0.6130,-7.48,6.04
0.6160,-8.36,4.76
0.6200,-9.50,5.33
0.6240,-10.61,4.48
0.6280,-11.67,2.63
0.6320,-12.69,3.20
0.6360,-13.65,3.20
0.6390,-14.34,2.49
0.6430,-15.20,2.06
0.6470,-16.00,0.78
0.6510,-16.73,0.50
0.6550,-17.40,-0.07
0.6590,-18.00,0.36
0.6620,-18.39,-1.07
0.6660,-18.86,-1.49
0.6700,-19.25,-1.63
0.6740,-19.55,-2.63
0.6780,-19.78,-3.62
0.6820,-19.93,-3.62
0.6850,-19.99,-3.34
0.6890,-19.99,-4.33
0.6930,-19.91,-4.19
0.6970,-19.76,-4.62
0.7010,-19.52,-4.90
0.7050,-19.20,-5.19
0.7080,-18.91,-5.75
0.7120,-18.45,-6.04
0.7160,-17.92,-5.75
0.7200,-17.31,-6.47
0.7240,-16.64,-6.32
0.7280,-15.89,-7.03
0.7310,-15.29,-7.46
0.7350,-14.44,-7.18
0.7390,-13.52,-8.17
0.7430,-12.55,-8.31
0.7470,-11.53,-8.17
0.7510,-10.46,-8.45
0.7540,-9.63,-8.17
0.7580,-8.49,-9.02
0.7620,-7.31,-8.60
0.7660,-6.11,-9.45
0.7700,-4.88,-9.31
0.7730,-3.94,-9.59
0.7770,-2.68,-9.73
0.7810,-1.41,-9.73
0.7850,-0.13,-10.30
0.7890,1.15,-8.74
0.7930,2.43,-9.59
0.7960,3.38,-8.74
0.8000,4.63,-8.88
0.8040,5.87,-8.74
0.8080,7.08,-8.17
0.8120,8.26,-8.03
0.8160,9.41,-7.60
0.8190,10.24,-6.32
0.8230,11.32,-6.75
0.8270,12.35,-5.75
0.8310,13.33,-5.90
0.8350,14.26,-4.90
0.8390,15.13,-4.48
0.8420,15.74,-4.33
0.8460,16.49,-3.48
0.8500,17.18,-1.63
0.8540,17.80,-1.63
0.8580,18.35,-1.21
0.8620,18.82,0.21
0.8650,19.12,0.21
0.8690,19.46,1.35
0.8730,19.71,1.49
0.8770,19.89,2.20
0.8810,19.98,1.92
0.8850,19.99,2.49
0.8880,19.95,3.48
0.8920,19.82,3.34
0.8960,19.61,4.33
0.9000,19.31,4.05
0.9040,18.94,5.04
0.9080,18.49,5.04
0.9110,18.10,5.75
0.9150,17.52,5.47
0.9190,16.87,5.75
0.9230,16.15,6.18
0.9270,15.36,6.18
0.9310,14.51,6.61
0.9340,13.84,7.32
0.9380,12.88,6.75
0.9420,11.88,7.89
0.9460,10.83,7.60
0.9500,9.73,7.89
0.9540,8.59,8.17
0.9570,7.71,8.60
0.9610,6.52,8.45
0.9650,5.30,8.45
0.9690,4.05,8.03
0.9730,2.79,8.45
0.9770,1.52,7.18
0.9800,0.56,8.03
0.9840,-0.72,7.18
0.9880,-2.00,7.32
0.9920,-3.27,6.61
0.9960,-4.52,6.75
1.0000,-5.76,5.61
1.0030,-6.67,6.18
1.0070,-7.86,5.75
1.0110,-9.02,4.62
1.0150,-10.15,4.90
1.0190,-11.23,4.19
1.0230,-12.26,3.91
1.0260,-13.01,3.34
1.0300,-13.95,2.91
1.0340,-14.84,1.21
1.0380,-15.67,1.63
1.0420,-16.43,1.07
1.0460,-17.13,1.49
1.0490,-17.60,0.36
1.0530,-18.17,0.36
1.0570,-18.67,-0.78
1.0610,-19.09,-1.21
1.0650,-19.43,-1.92
1.0690,-19.70,-1.92
1.0720,-19.84,-3.06
1.0760,-19.96,-3.48
1.0800,-20.00,-3.62
1.0840,-19.96,-4.05
1.0880,-19.83,-4.05
1.0920,-19.63,-5.04
1.0950,-19.42,-4.76
1.0990,-19.08,-5.33
1.1030,-18.65,-5.47
1.1070,-18.15,-5.75
1.1110,-17.58,-6.18
1.1140,-17.10,-6.04
1.1180,-16.40,-6.47
1.1220,-15.64,-7.03
1.1260,-14.81,-7.32
1.1300,-13.92,-6.89
1.1340,-12.97,-7.32
1.1370,-12.22,-8.03
1.1410,-11.19,-8.17
1.1450,-10.10,-8.17
1.1490,-8.98,-8.45
1.1530,-7.82,-9.17
1.1570,-6.62,-8.60
1.1600,-5.71,-8.31
1.1640,-4.47,-10.16
1.1680,-3.22,-8.88
1.1720,-1.95,-10.16
1.1760,-0.67,-9.17
1.1800,0.61,-9.31
1.1830,1.57,-9.73
1.1870,2.84,-8.88
1.1910,4.10,-8.60
1.1950,5.34,-7.74
1.1990,6.56,-7.60
1.2030,7.76,-7.46
1.2060,8.64,-7.46
1.2100,9.77,-6.89
1.2140,10.87,-6.89
1.2180,11.92,-6.04
1.2220,12.92,-5.61
1.2260,13.87,-5.04
1.2290,14.55,-4.62
1.2330,15.39,-4.33
1.2370,16.18,-3.06
1.2410,16.90,-2.91
1.2450,17.55,-0.78
1.2490,18.13,-0.64
1.2520,18.51,0.21
1.2560,18.96,0.64
1.2600,19.33,1.07
1.2640,19.62,1.49
1.2680,19.83,2.20
1.2720,19.95,2.77
1.2750,20.00,2.91
1.2790,19.98,3.20
1.2830,19.88,3.48
1.2870,19.71,3.91
1.2910,19.45,4.33
1.2950,19.11,4.19
1.2980,18.80,5.19
1.3020,18.33,5.61
1.3060,17.78,5.19
1.3100,17.16,6.18
1.3140,16.47,6.47
1.3180,15.71,6.47
1.3210,15.09,6.47
1.3250,14.22,6.47
1.3290,13.29,7.18
1.3330,12.31,7.46
1.3370,11.28,6.89
1.3410,10.20,7.32
1.3440,9.36,8.45
1.3480,8.21,8.60
1.3520,7.03,8.60
1.3560,5.82,8.74
1.3600,4.58,9.17
1.3640,3.33,8.74
1.3670,2.38,8.45
1.3710,1.10,8.03
1.3750,-0.18,7.74
1.3790,-1.46,7.46
1.3830,-2.73,7.60
1.3870,-3.99,7.18
1.3900,-4.93,6.75
1.3940,-6.16,6.04
1.3980,-7.36,6.04
1.4020,-8.53,5.47
1.4060,-9.67,4.90
1.4100,-10.77,4.90
1.4130,-11.57,4.19
1.4170,-12.59,3.62
1.4210,-13.56,3.62
1.4250,-14.47,2.49
1.4290,-15.32,2.49
1.4330,-16.11,1.49
1.4360,-16.66,1.35
1.4400,-17.34,0.50
1.4440,-17.94,0.78
1.4480,-18.47,0.64
1.4520,-18.92,-0.36
1.4560,-19.30,-1.07
1.4590,-19.53,-1.49
1.4630,-19.76,-2.49
1.4670,-19.92,-3.20
1.4710,-19.99,-3.48
1.4750,-19.99,-3.34
1.4780,-19.93,-4.05
1.4820,-19.78,-4.48
1.4860,-19.54,-4.62
1.4900,-19.23,-5.04
1.4940,-18.84,-5.47
1.4980,-18.37,-5.61
1.5010,-17.97,-5.75
1.5050,-17.38,-5.90
1.5090,-16.71,-6.32
1.5130,-15.97,-6.47
