,Time,Command,Lefthip
0,0,0.0,-0.10582010582010781
1,14,0.5599268295350078,-0.31746031746031633
2,27,1.079475196522191,-0.31746031746031633
3,38,1.518537169196118,-0.10582010582010781
4,50,1.996668332936563,-0.10582010582010781
5,60,2.394244145778387,-0.10582010582010781
6,70,2.79086229288473,-0.10582010582010781
7,80,3.1863641322849197,0.529100529100532
8,90,3.5805914685164835,-0.10582010582010781
9,100,3.9733866159012243,0.7407407407407405
10,110,4.364592461617386,1.7989417989417973
11,121,4.792896513532544,3.0687830687830697
12,131,5.18025632797944,0.952380952380949
13,141,5.565544108964308,2.6455026455026456
14,150,5.910404133226791,3.2804232804232782
15,158,6.215342250796563,1.5873015873015888
16,165,6.480860567897367,2.2222222222222214
17,173,6.782751668904546,2.010582010582013
18,181,7.082906422527039,3.492063492063494
19,189,7.3812479907871476,2.6455026455026456
20,197,7.6776999998727256,3.492063492063494
21,205,7.972186559688458,2.433862433862437
22,213,8.264632283283307,3.2804232804232782
23,221,8.55496230614916,3.0687830687830697
24,229,8.843102305385743,4.973544973544975
25,237,9.128978518726864,2.857142857142854
26,245,9.41251776342316,4.1269841269841265
27,253,9.69364745497648,3.0687830687830697
28,261,9.972295625721111,2.6455026455026456
29,269,10.248390943247125,2.857142857142854
30,276,10.487824629279395,3.7037037037037024
31,284,10.758943372848828,2.2222222222222214
32,292,11.027307885672489,4.1269841269841265
33,300,11.292849467900707,2.6455026455026456
34,308,11.555500142338634,4.338624338624342
35,316,11.815192671848019,4.1269841269841265
36,324,12.071860576559565,2.6455026455026456
37,332,12.325438150891406,3.7037037037037024
38,339,12.544732440642026,4.761904761904759
39,347,12.792341315293413,4.761904761904759
40,355,13.036675420430733,3.0687830687830697
41,363,13.277672207857446,4.1269841269841265
42,371,13.51526998371212,3.492063492063494
43,379,13.749407924261728,3.492063492063494
44,387,13.980026091472187,3.915343915343918
45,395,14.207065448352157,4.973544973544975
46,404,14.458134596994086,4.973544973544975
47,412,14.67737716240374,5.6084656084656075
48,420,14.892862399417186,6.031746031746039
49,428,15.104535144990574,6.455026455026456
50,436,15.312341212057042,7.51322751322752
51,444,15.516227403398306,6.031746031746039
52,452,15.71614152526287,8.57142857142857
53,460,15.91203240072732,7.301587301587304
54,467,16.080097149701185,8.148148148148152
55,475,16.268310095787474,8.994708994709
56,483,16.45235844333515,8.783068783068785
57,491,16.63219507697238,9.417989417989418
58,499,16.807773959503088,11.534391534391531
59,507,16.97905014369224,10.687830687830683
60,515,17.145979783772066,11.322751322751316
61,523,17.30852014666636,10.899470899470899
62,531,17.4666296229299,12.169312169312164
63,539,17.62026773740024,12.38095238095238
64,546,17.75100222626706,11.746031746031747
65,554,17.896151436853437,12.80423280423281
66,562,18.036719330407998,12.592592592592595
67,570,18.172669922317663,12.592592592592595
68,578,18.303968409973383,13.86243386243386
69,586,18.430581181679365,12.80423280423281
70,594,18.552475825257527,13.015873015873012
71,602,18.669621136344816,13.439153439153444
72,609,18.76820374173086,13.86243386243386
73,617,18.876364187492673,14.285714285714292
74,625,18.979692387111726,14.920634920634924
75,633,19.078161889133217,14.497354497354493
76,641,19.1717474859024,15.132275132275126
77,649,19.26042522001761,14.497354497354493
78,657,19.344172390463193,14.285714285714292
79,665,19.422967558420893,14.285714285714292
80,673,19.49679055275803,15.132275132275126
81,681,19.565622475191226,14.708994708994709
82,689,19.629445705124244,16.19047619047619
83,697,19.688243904158785,16.19047619047619
84,705,19.742002020277006,15.555555555555557
85,712,19.78489507850811,17.248677248677254
86,720,19.82916696383373,17.037037037037038
87,728,19.86836269070937,17.460317460317455
88,736,19.902472225243017,16.19047619047619
89,744,19.93148683558011,17.037037037037038
90,752,19.95539909413886,17.67195767195767
91,760,19.974202879511658,17.67195767195767
92,768,19.987893378032158,17.037037037037038
93,776,19.996467085007495,17.248677248677254
94,784,19.999921805615514,18.306878306878303
95,791,19.998744790196948,20.0
96,799,19.992600058012705,17.248677248677254
97,807,19.981337329398933,18.730158730158735
98,815,19.964959487552647,18.306878306878303
99,823,19.94347072511192,18.306878306878303
100,831,19.916876543082573,17.883597883597886
101,839,19.885183749429967,18.51851851851852
102,847,19.8484004573362,18.306878306878303
103,855,19.80653608312316,17.883597883597886
104,863,19.759601343842014,20.0
105,871,19.707608254529696,18.941798941798936
106,879,19.650570125133115,18.095238095238102
107,887,19.588501557101896,18.941798941798936
108,895,19.521418439650486,18.941798941798936
109,903,19.449337945690587,18.941798941798936
110,911,19.372278527435,18.941798941798936
111,919,19.29025991167396,18.941798941798936
112,927,19.20330309472517,18.941798941798936
113,935,19.111430337058877,18.941798941798936
114,942,19.027027524676573,18.941798941798936
115,950,18.926001753748288,18.941798941798936
116,958,18.82013102973137,18.941798941798936
117,966,18.709442454952974,18.941798941798936
118,974,18.593964365083735,18.941798941798936
119,982,18.47372632188401,18.941798941798936
120,991,18.332807263788723,19.788359788359784
121,999,18.202558026993323,21.269841269841265
122,1007,18.067649034752403,18.51851851851852
123,1015,17.9281148230312,19.365079365079367
124,1022,17.802256314166616,17.460317460317455
125,1030,17.65414701631948,18.941798941798936
126,1038,17.50151835325053,17.460317460317455
127,1046,17.344409397063952,16.825396825396822
128,1054,17.182860366794518,18.51851851851852
129,1062,17.016912618111714,18.51851851851852
130,1070,16.846608632732913,19.365079365079367
131,1078,16.671992007548294,16.613756613756607
132,1088,16.44772477956667,17.037037037037038
133,1096,16.263569815841848,16.613756613756607
134,1103,16.099017308209007,16.613756613756607
135,1111,15.907095507392539,16.613756613756607
136,1119,15.71110157699939,17.037037037037038
